cell_id,sdi,shade_14
14662,1.0,0.0
0,1.0,0.0
14661,1.0,0.0
14660,1.0,0.0
3,1.0,0.0
14644,1.0,0.0
14641,1.0,0.0
14640,1.0,0.0
14639,1.0,0.0
14638,1.0,0.0
